time gssi_420mhz
6.8493150685e-09 -6.37030180e-03
6.9471624266e-09 -5.90833369e-03
7.0450097847e-09 -5.47947100e-03
7.1428571429e-09 -5.08210460e-03
7.2407045010e-09 -4.71429688e-03
7.3385518591e-09 -4.37379110e-03
7.4363992172e-09 -4.05822357e-03
7.5342465753e-09 -3.76538204e-03
7.6320939335e-09 -3.49337929e-03
7.7299412916e-09 -3.24068699e-03
7.8277886497e-09 -3.00605246e-03
7.9256360078e-09 -2.78836593e-03
8.0234833659e-09 -2.58654805e-03
8.1213307241e-09 -2.39949780e-03
8.2191780822e-09 -2.22610308e-03
8.3170254403e-09 -2.06528782e-03
8.4148727984e-09 -1.91606163e-03
8.5127201566e-09 -1.77754692e-03
8.6105675147e-09 -1.64897608e-03
8.7084148728e-09 -1.52966675e-03
8.8062622309e-09 -1.41899071e-03
8.9041095890e-09 -1.31635034e-03
9.0019569472e-09 -1.22116899e-03
9.0998043053e-09 -1.13289415e-03
9.1976516634e-09 -1.05100663e-03
9.2954990215e-09 -9.75028848e-04
9.3933463796e-09 -9.04527525e-04
9.4911937378e-09 -8.39110193e-04
9.5890410959e-09 -7.78417888e-04
9.6868884540e-09 -7.22117393e-04
9.7847358121e-09 -6.69895717e-04
9.8825831703e-09 -6.21457758e-04
9.9804305284e-09 -5.76526487e-04
1.0078277886e-08 -5.34844113e-04
1.0176125245e-08 -4.96172787e-04
1.0273972603e-08 -4.60294061e-04
1.0371819961e-08 -4.27007148e-04
1.0469667319e-08 -3.96126588e-04
1.0567514677e-08 -3.67480038e-04
1.0665362035e-08 -3.40906681e-04
1.0763209393e-08 -3.16256347e-04
1.0861056751e-08 -2.93389148e-04
1.0958904110e-08 -2.72175273e-04
1.1056751468e-08 -2.52494651e-04
1.1154598826e-08 -2.34236373e-04
1.1252446184e-08 -2.17297903e-04
1.1350293542e-08 -2.01584230e-04
1.1448140900e-08 -1.87007104e-04
1.1545988258e-08 -1.73484440e-04
1.1643835616e-08 -1.60939891e-04
1.1741682975e-08 -1.49302539e-04
1.1839530333e-08 -1.38506607e-04
1.1937377691e-08 -1.28491167e-04
1.2035225049e-08 -1.19199796e-04
1.2133072407e-08 -1.10580214e-04
1.2230919765e-08 -1.02583934e-04
1.2328767123e-08 -9.51659413e-05
1.2426614481e-08 -8.82844287e-05
